"Sample";"Strain";"Field";"Country";"Organ";"Species";"Run";"Control"
"S104";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S105";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S106";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S107";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S108";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S109";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S110";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S113";"Blank";"Blank";"Blank";"Blank";"Blank";"run1";"Control sample"
"S121";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S122";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S123";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S124";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S125";"Blank";"Field";"Blank";"Blank";"Blank";"run2";"Control sample"
"S126";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S127";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S128";"Field - Bosc";"Field";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S137";"Blank";"Blank";"Blank";"Blank";"Blank";"run2";"Control sample"
"S146";"Laboratory - Lavar";"Lab ";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S147";"Laboratory - Lavar";"Lab ";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S148";"Laboratory - Lavar";"Lab ";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S149";"Blank";"Lab ";"Blank";"Blank";"Blank";"run2";"Control sample"
"S150";"Laboratory - Lavar";"Lab ";"France";"Ovary";"Culex pipiens";"run2";"True sample"
"S151";"Laboratory - Lavar";"Lab ";"France";"Ovary";"Culex pipiens";"run2";"True sample"
